METROPOLITAN_CITY,STATE,COUNTRY,MEETUP_GROUP_MEMBERS_URL
Melbourne,,AU,site:https://www.meetup.com/OpenTechSchool-Melbourne/members/
Sydney,,AU,site:https://www.meetup.com/Equality-Hacks-Think-Tank/members/
Porto_Alegre,,BR,site:https://www.meetup.com/Women-Who-Go-Porto-Alegre/members/
Toronto,ON,CA,site:https://www.meetup.com/DITTO-Diversity-Inclusion-Talks-TO/members/
Toronto,ON,CA,site:https://www.meetup.com/Toronto-Diversity-Inclusion-Meetup/members/
Bern,,CH,site:https://www.meetup.com/Django-Ladies-Meetup/members/
Zurich,,CH,site:https://www.meetup.com/opentechschool-zurich/members/
Zurich,,CH,site:https://www.meetup.com/Zurich-Girl-Geek-Dinners-GGD/members/
Berlin,,DE,site:https://www.meetup.com/DiverseIT/members/
Berlin,,DE,site:https://www.meetup.com/opentechschool-berlin/members/
Dortmund,,DE,site:https://www.meetup.com/opentechschool-dortmund/members/
Dusseldorf,,DE,site:https://www.meetup.com/Women-Techmakers-Dusseldorf/members/
Frankfurt,,DE,site:https://www.meetup.com/opentechschool-rheinmain/members/
Göttingen,,DE,site:https://www.meetup.com/OpenTechSchool-Goettingen/members/
Hamburg,,DE,site:https://www.meetup.com/opentechschool-hamburg/members/
Köln,,DE,site:https://www.meetup.com/Tech-Startups-Diversity-Inclusion/members/
Köln,,DE,site:https://www.meetup.com/LEAD-Mischen-is-possible-Diversity-drives-Innovation/members/
Munich,,DE,site:https://www.meetup.com/Tech-Diversity-Munich-Meetup/members/
Barcelona,,ES,site:https://www.meetup.com/Barcelona-LGBT-tech/members/
Tel Aviv-Yafo,,IL,site:https://www.meetup.com/Code-Parent/members/
Nairobi,,KE,site:https://www.meetup.com/opentechschool-nairobi/members/
Amsterdam,,NL,site:https://www.meetup.com/Empowering-Women-Leaders-How-to-spot-Unconscious-Biases/members/
Göteborg,,SE,site:https://www.meetup.com/Diversity-and-Inclusion-Software-Development/members/
Stockholm,,SE,site:https://www.meetup.com/opentechschool-stockholm/members/
London,,UK,site:https://www.meetup.com/Diversity-Inclusion-in-Technology/members/
London,,UK,site:https://www.meetup.com/opentechschool-london/members/
London,,UK,site:https://www.meetup.com/Inclusive-and-Diverse-Women-in-Tech/members/
London,,UK,site:https://www.meetup.com/researchers-code/members/
London,,UK,site:https://www.meetup.com/ai-club/members/
Arlington,VA,US,site:https://www.meetup.com/Pivotal-Diversity-Inclusion/members/
Atlanta,GA,US,site:https://www.meetup.com/Networking-for-Women-in-Tech/members/
Auburn,WA,US,site:https://www.meetup.com/Green-River-Women-in-Tech/members/
Austin,TX,US,site:https://www.meetup.com/fr-FR/Austin-Hispanic-Hackers-Meetupmembers/
Austin,TX,US,site:https://www.meetup.com/Girl-Develop-It-Austin/members/
Austin,TX,US,site:https://www.meetup.com/PyLadies-ATX/members/
Austin,TX,US,site:https://www.meetup.com/Women-Who-Code-Austin/members/
Austin,TX,US,site:https://www.meetup.com/Feminist-Hack-ATX/members/
Austin,TX,US,site:https://www.meetup.com/BlackWomenDesign/members/
Austin,TX,US,site:https://www.meetup.com/Vets-That-Code/members/
Austin,TX,US,site:https://www.meetup.com/Operation-Code-Austin/members/
